Affiliated entity,Affiliated entity ID,Number of facilities,Number of states and territories with operations,Number of Special Focus Facilities (SFF),Number of SFF candidates,Number of facilities with an abuse icon,Percentage of facilities with an abuse icon,Percent of facilities classified as for-profit,Percent of facilities classified as non-profit,Percent of facilities classified as government-owned,Average overall 5-star rating,Average health inspection rating,Average staffing rating,Average quality rating,Average total nurse hours per resident day,Average total weekend nurse hours per resident day,Average total Registered Nurse hours per resident day,Average total nursing staff turnover percentage,Average Registered Nurse turnover percentage,Average number of administrators who have left the nursing home,Total number of fines,Average number of fines,Total amount of fines in dollars,Average amount of fines in dollars,Total number of payment denials,Average number of payment denials,Average percentage of short-stay residents who were re-hospitalized after a nursing home admission,Average percentage of short-stay residents who have had an outpatient emergency department visit,Average percentage of short-stay residents who newly received an antipsychotic medication,Average percentage of short-stay residents with pressure ulcers or pressure injuries that are new or worsened,Average percentage of short-stay residents who made improvements in function,Average percentage of short-stay residents who were assessed and appropriately given the seasonal influenza vaccine,Average percentage of short-stay residents who were assessed and appropriately given the  pneumococcal vaccine,"Average number of hospitalizations per 1,000 long-stay resident days","Average number of outpatient emergency department visits per 1,000 long-stay resident days",Average percentage of long-stay residents who received an antipsychotic medication,Average percentage of long-stay residents experiencing one or more falls with major injury,Average percentage of long-stay high-risk residents with pressure ulcers,Average percentage of long-stay residents with a urinary tract infection,Average percentage of long-stay residents who have or had a catheter inserted and left in their bladder,Average percentage of long-stay residents whose ability to move independently worsened,Average percentage of long-stay residents whose need for help with activities of daily living has increased,Average percentage of long-stay residents who were assessed and appropriately given the seasonal influenza vaccine,Average percentage of long-stay residents who were assessed and appropriately given the  pneumococcal vaccine,Average percentage of long-stay residents who were physically restrained,Average percentage of long-stay low-risk residents who lose control of their bowels or bladder,Average percentage of long-stay residents who lose too much weight,Average percentage of long-stay residents who have symptoms of depression,Average percentage of long-stay residents who used antianxiety or hypnotic medication,Average rate of potentially preventable hospital readmissions 30 days after discharge from a SNF,Average percentage of current residents up to date with COVID-19 vaccines,Average percentage of healthcare personnel up to date with COVID-19 vaccines
CYPRESS HEALTHCARE LA,642,4,4,0,0,1,25,100,0,0,2.3,2.3,1.5,3.8,3.2,2.8,0.5,58.8,56.3,0.5,7,1.8,10206,2551.5,2,0.5,17.8,8.4,3,1.4,64.4,56.9,51.7,1.29,1.04,21,2.6,6.2,2,1.8,17,16.5,93.6,79.6,0,46.3,7.4,18.7,18.4,10.1,10.8,2.1
CYPRESS SKILLED NURSING,176,9,1,0,1,1,11.1,100,0,0,1.6,2.1,1.2,1.8,3.2,2.9,0.3,63.4,50.6,0.4,14,1.6,302469.62,33607.74,2,0.2,24.1,16.6,3.7,3.6,75.9,68.2,73.6,1.7,2.12,19.6,3.3,9.6,4.1,1,24.4,20.8,93.2,89.6,0,45.1,7.7,1,22.4,10.2,28.2,12
"D&N, LLC",177,35,7,2,0,7,20,97.1,0,2.9,1.8,2.1,2.5,2.2,3.4,2.9,0.3,57.9,49.8,0.8,52,1.5,2128307.75,60808.79,11,0.3,23,12,2.9,2.6,63.8,74.2,77,1.97,1.97,23,2.9,9.3,1.2,0.7,16.9,20,93.1,92.5,1.2,42.9,4.9,1.1,25.1,11.7,26.2,2.4
DAKAVIA,178,3,2,0,0,0,0,100,0,0,3.7,3.3,3.3,3.7,4.4,3.7,1.2,40.5,18.8,0,2,0.7,30488.25,10162.75,0,0,17.4,21.7,1.3,1,80.1,63,48.4,0.95,3.2,11,1.1,3.2,7.6,5,22.7,19,93.6,83,0,47.7,10.5,5.6,8.3,8.7,43.8,11.9
DAVID GAMZEH & GABRIEL SEBBAG,648,10,1,0,0,2,20,100,0,0,1.9,2,2.3,3,3.1,2.8,0.5,48.6,49.4,0.3,17,1.7,444637.1,44463.71,0,0,22,10.3,2.2,2.6,70.8,67.9,63.4,1.38,1.08,17.2,3.7,4.2,2.1,1.6,21.4,16.1,96.3,90.6,0.2,46.2,6.5,5.3,15.6,10.1,24.1,4.9
DAVID MARX,179,10,1,0,0,3,30,100,0,0,1.8,2,1.6,3.1,3.1,2.7,0.6,54.6,50.8,0.5,6,0.6,193888.25,19388.83,3,0.3,22.1,13.7,1.8,3.5,74.8,67.3,73.8,1.62,1.46,13.4,4,9.7,1.5,0.9,9.4,14.1,95.5,92,0.1,45.7,7.2,16,27.9,10.9,32.9,2.9
DAVID WEISZ,664,9,1,0,0,0,0,100,0,0,1.1,1.3,1.3,2.2,3.3,2.9,0.6,76.8,62.5,0.9,12,1.3,233552.15,25950.24,4,0.4,17.9,16.6,1.8,6.4,78.2,58,69.3,2.58,1.9,26.8,5.1,9.4,1.4,2.4,18.3,15.8,86.1,81.5,0.2,40,5.8,6.6,19.1,10.1,31.6,2.5
DELMAR GARDENS,180,14,5,0,0,1,7.1,100,0,0,2.6,2.6,2.7,3,3.9,3.4,0.4,50.6,40.3,0.6,19,1.4,383531.13,27395.08,3,0.2,25.6,8.6,2,3.9,77.4,64.5,72.4,2.04,1.11,17.8,3.9,9.7,3.9,1.3,13.3,14.2,93.5,87.6,0,39.3,5.7,1.6,18.8,10.7,41.3,17.9
DIAKONOS GROUP,182,8,1,0,0,0,0,100,0,0,2.9,2.9,2.8,3,4.3,3.8,0.5,76.9,80.6,0.8,8,1,117285.24,14660.66,0,0,28,18.6,0.7,2.1,77.9,61.2,74.6,2.31,2.88,4.9,6.8,7.7,1.7,1.4,15.1,16.2,92.6,91.6,0,46,5,1,23.3,11,12.9,1.2
DIOCESAN HEALTH FACILITIES,184,5,1,0,0,1,20,0,100,0,3,2.4,4.8,2.4,4.1,3.8,0.8,29.6,21.9,0.4,8,1.6,207318.15,41463.63,0,0,19.9,12.3,2.6,5.3,76,77.5,65.2,2,1.31,20.6,4.4,6.1,3.6,1.9,16.6,18.9,96.3,91.9,0.3,69.7,4.8,1.2,17.3,9.8,16.4,18.7
DIVERSICARE HEALTHCARE,185,50,6,0,2,3,6,96,2,2,2.7,2.5,2.6,3.7,3.1,2.7,0.6,47.3,45.6,0.7,59,1.2,1451071.98,29021.44,10,0.2,22.4,12.1,1.7,1.7,84.7,80.5,84.9,1.64,1.84,12.3,3.3,7.9,1.6,1,13.1,11.3,97.8,95.9,0.1,43.2,5.7,2.6,22.6,10.8,25.2,4.9
DIVINE HEALTHCARE MANAGEMENT,186,9,1,0,1,2,22.2,100,0,0,2,1.8,2.1,3.9,3.4,3.1,0.6,55,51.3,0.3,17,1.9,336852.78,37428.09,6,0.7,25.4,12.8,0.6,1.6,75.7,41.7,60.5,1.68,2.17,10.8,2.8,4.5,0.1,0.1,12.6,15.4,89.6,82.7,0,47.1,5.6,49.3,22.9,10.9,35,25.5
DOVE HEALTHCARE,187,10,1,0,0,1,10,100,0,0,3.4,3,3.5,3.7,4.9,4.3,1.2,47.9,38,0.9,21,2.1,546319.75,54631.98,3,0.3,21.2,15.6,1,3.1,84.1,80.2,83.5,1.23,2.02,13.5,2.4,6.4,2.5,3.8,16.1,9.5,92.6,92.7,0.1,48.9,5,6.9,18.4,9.3,28.6,10.3
DYNASTY HEALTHCARE GROUP,649,5,1,0,0,0,0,100,0,0,2.4,2.4,2.4,3.4,3.3,2.9,0.4,56.9,64.9,0.3,11,2.2,103871.25,20774.25,2,0.4,18.7,13.8,1.9,4.2,77.5,91.7,89.9,1.86,1.99,10.8,3.5,10.2,0.7,1.6,14.1,14.5,98.9,98.7,0,48.7,3.8,2.9,20.2,10.9,46.8,14
EASTERN HEALTHCARE GROUP,608,8,1,0,0,1,12.5,100,0,0,1.1,1.4,1,2.8,3.1,2.6,0.4,61.3,66.1,0.6,21,2.6,783275.54,97909.44,3,0.4,18.7,17.1,0.9,2.6,72.5,34.9,46.5,1.45,2.07,7.8,2.6,8,1.4,0.5,21.7,23.6,79.1,72.3,0,48.7,5.4,21.3,17.9,11.2,32,8.4
EDEN HEALTHCARE,191,7,2,0,0,0,0,100,0,0,3,2.9,3.6,3.3,3.5,3.1,0.8,47.6,38.6,0.9,25,3.6,262173.28,37453.33,2,0.3,22.1,14.5,2.4,1.9,76.5,83.2,90.4,1.18,1.39,16,3.4,8.6,0.7,0.9,17.8,17.8,97.5,98.2,0.2,48.1,4.7,2.5,15.7,9.8,55,13.6
EDEN SENIOR CARE,192,14,2,0,1,1,7.1,100,0,0,2.7,2.8,2.6,3.6,3.6,3.2,0.9,51.8,46.1,0.8,17,1.2,424282.21,30305.87,2,0.1,19.4,13.6,1,5.2,86.9,81.5,84.8,1.45,1.88,14.5,2.3,10.9,2.6,1.5,15.4,10.1,95.1,93.3,0,54.9,3.1,5.5,17.4,10.1,36,9.9
EDURO HEALTHCARE,193,34,8,0,5,6,17.6,85.3,0,14.7,2.1,2.3,1.7,3,3.1,2.8,0.5,56.4,56.6,0.6,103,3,2191245.13,64448.39,10,0.3,18.8,13.4,1.8,3.2,73,73.2,80.1,1.42,1.87,14.1,4.7,7.8,2.4,1.6,15.9,18,94.9,93.3,0,52.3,6.9,6.2,19.8,10.1,22.5,6.3
EL DORADO NURSING AND REHABILITATION,609,6,1,0,0,2,33.3,100,0,0,1,1.2,1,2.2,2.9,2.6,0.3,50.7,55.6,1.2,14,2.3,418026.82,69671.14,4,0.7,20.6,13.8,2.5,3.2,78,69.7,68,2.23,1.83,11.8,2.2,9.8,1.3,1.1,27,32.6,92.7,90.2,0,24.6,5.2,37.5,18.2,11.1,39.2,37.2
ELDER OUTREACH NURSING & REHABILITATION,194,5,1,0,0,0,0,0,100,0,3,3,2.4,3.2,3.8,3.2,0.2,46,40,0,5,1,17815.85,3563.17,0,0,23,15.1,2.5,2,91.7,96.4,98.7,2.05,2.87,20.4,3.6,6,0.3,0,6.9,11.6,99.4,99.7,0,31.8,4.3,0.2,30.6,10.6,40.3,2.5
ELDER SERVICES,195,6,1,0,0,0,0,100,0,0,1.5,2.2,1.7,1.7,3.5,3.1,0.4,98.2,91.8,0,12,2,508628.1,84771.35,2,0.3,24.4,16.4,1.2,3.3,69.7,68,62.6,1.83,1.69,34.9,3.9,7,3.1,1.6,23.4,21.5,92.7,82.1,1.6,53.1,4.1,0.9,24.2,9.9,57.5,27.3
ELDERWOOD,196,17,3,0,1,0,0,100,0,0,3.2,3.1,2.8,3.2,3.3,2.8,0.7,55.1,42.6,0.5,39,2.3,644846.28,37932.13,2,0.1,20.8,12.2,1.5,2.7,74.9,75.9,71.9,1,1.48,15.1,3.9,10.1,2,1.6,22.6,16.4,95.5,90.5,0.1,69.9,7.6,3.2,14.1,10,46.2,10.1
ELEVATE CARE,197,13,2,0,0,4,30.8,100,0,0,2.2,2.2,2,3.4,3.4,2.9,0.7,42.2,41.2,0.8,56,4.3,1920431.71,147725.52,10,0.8,24.6,10,2.7,1.2,83.2,57.7,57.5,2.08,1.42,18.7,1.7,14.6,1.5,1.7,12.4,9.9,87.9,76.3,0.2,50.1,7,50.5,12.5,10.3,39.8,22
ELEVATION HEALTHCARE,686,4,2,0,0,0,0,100,0,0,1.8,2,2.3,3,3.5,2.9,0.5,56.1,52.2,1.8,29,7.3,181644.07,45411.02,0,0,23.7,10.4,4.9,3.8,75,59.3,64.7,1.75,1.57,21.4,2.9,6.8,1.8,0.6,17.4,18.8,85.1,89.7,0,52.6,4.2,2.9,25.9,12.9,58.2,30.8
ELMBROOK MANAGEMENT COMPANY,198,12,1,0,0,0,0,100,0,0,3.4,3.7,2.8,2.7,3.5,3.1,0.4,60.2,47.7,0,3,0.3,40456.31,3371.36,0,0,26.2,19.5,1.5,2.9,66.5,70.3,72.5,2.19,2.42,12.7,3.8,6.5,2.6,3.1,12.5,14.9,97.9,95.9,0,37.9,3.8,3.5,26.8,11.8,30.6,0.8
EMBASSY HEALTHCARE,199,32,2,0,3,3,9.4,100,0,0,2,2.2,1.4,3.8,3.3,3,0.4,61,65.7,1.7,88,2.8,1840887.2,57527.73,15,0.5,19.8,10.7,1.5,3.1,76.6,58.8,57.4,1.36,1.48,20.7,3.7,7.4,1.3,0.5,13.4,11.6,92.8,83.9,0.3,41,5.7,11.3,25,10.5,29.2,13.2
EMERALD HEALTHCARE,630,8,2,0,2,0,0,100,0,0,1,1.1,1.6,2,3.4,3.1,0.4,75.3,62.8,0.9,62,7.8,842319.01,105289.88,11,1.4,22.4,12.1,1.6,3.8,76.4,38.4,31.8,2.39,2.21,17.3,5.1,9.4,2,1.3,21.2,20.2,83.8,62.5,0,46.5,5.6,1.9,20.7,10.2,18.7,6.7
EMPIRE CARE CENTERS,202,20,2,0,1,2,10,100,0,0,1.5,1.9,1.2,3,3.2,2.8,0.3,71.1,66.2,1,26,1.3,1100614.73,55030.74,5,0.3,22.2,10.4,1.7,2.9,75.6,59.9,63.3,1.7,1.26,11.8,3,11.1,1.9,0.8,25.3,20.3,89.5,74.7,0,56.7,6.8,1.2,14.7,11.5,17.2,4.3
EMPRES OPERATED BY EVERGREEN,665,37,6,0,3,5,13.5,100,0,0,2.8,2.6,3.2,3.4,4,3.5,0.7,54.6,44.2,0.3,113,3.1,1885894.8,50970.13,4,0.1,18.5,13.6,1.7,3,73.5,71.3,78.8,1.2,1.87,19.7,3.5,6.7,1.8,1.2,19.7,14.5,93.4,95.8,0,45.4,5.7,4.9,14.8,9.9,37.2,12.3
ENVIVE HEALTHCARE,204,9,1,0,1,0,0,77.8,0,22.2,2.1,2.3,2.1,3.1,3.7,3.3,0.8,54.9,57.8,2.3,33,3.7,607747.97,67527.55,7,0.8,19.7,8.7,2.7,1.9,70.2,42.6,67.5,1.58,1.6,14.3,2.2,9.2,1.1,0.3,24.1,22.3,77.3,87.4,0,52.5,4.7,13.5,22.3,10.3,54.8,17.2
EPHRAM LAHASKY,205,48,16,0,8,7,14.6,95.8,4.2,0,1.8,1.8,2.3,3,3.5,3.1,0.6,59.4,57,0.8,133,2.8,3033168.84,63191.02,22,0.5,21.8,11.5,1.7,3.1,73.5,66.6,67.8,1.78,1.8,17.4,3.3,7.7,1.4,1.3,17.3,16.2,91.4,86,0,45.2,6.2,13,19.8,10.8,35,13.1
EPIC HEALTHCARE MANAGEMENT,207,5,1,0,0,0,0,100,0,0,4.8,4.6,2,4.2,3.2,2.8,0.5,31.3,22.4,0.2,3,0.6,2295.24,459.05,0,0,19,8.7,1,1.1,84.7,88.1,84.4,1.83,1.13,15.9,2.4,7.1,1.3,0.4,11.9,13.4,95.1,96.3,0,65.6,6.2,31.5,16.5,9.6,19.3,4
EPISCOPAL RETIREMENT SERVICES,209,3,2,0,0,0,0,0,100,0,5,4,5,4.7,5.3,4.9,0.9,29.9,35.6,0,1,0.3,6201,2067,0,0,16.6,5,0.4,0,80.7,89.5,87.3,0.72,1.03,21.2,4.2,2.4,1.2,0.7,21.2,15.3,98.4,93.7,0,40.6,3.2,9.8,13,10.9,66.3,11.6
ERICKSON LIVING,210,16,9,0,0,0,0,6.3,93.8,0,4.3,4.1,3.7,4.4,4.9,4.3,1.2,100,100,1.1,41,2.6,153019.27,9563.7,0,0,20.4,7.8,1.3,2.4,80.2,89.5,79,1.31,0.68,12,3.9,8,2.6,1,17.3,14.7,95.3,88,0.1,67,5.7,1.4,15.3,10.8,67.8,27.9
ESSENTIAL HEALTHCARE,212,6,1,0,1,1,16.7,100,0,0,1.8,1.5,3.7,2.5,3.5,3.1,0.7,28.5,39.8,1.2,9,1.5,379810.5,63301.75,0,0,25.2,10.7,2.1,1.2,75.4,55.8,53.6,3.31,2.07,17.6,1.8,5.9,0.5,1.5,15.5,19.6,88.5,77.6,0,23.1,5.8,26.1,18.2,11.2,54.6,1.6
EVA CARE GROUP,213,9,1,0,1,0,0,100,0,0,3.3,2.8,3.9,4.6,4.2,3.8,0.7,37.9,37.4,0.7,26,2.9,676305.79,75145.09,3,0.3,19.8,11.6,0.4,1.6,71.4,99.7,99.3,1.73,0.98,8.1,1.2,7.4,1.4,0.6,6.9,7.4,100,99.9,0,21.1,7,0.4,12.9,11.4,58.2,14.4
EVANGELICAL GOOD SAMARITAN SOCIETY,584,42,14,1,2,1,2.4,2.4,97.6,0,2.7,2.7,3.3,3.1,3.6,3.1,0.8,51.9,45.7,0.4,44,1,1079351.08,25698.84,6,0.1,20,10.7,1.9,2.3,77.2,73.4,81.9,1.42,1.59,16.5,4.3,7.5,4.4,1.9,18.6,16.3,96.6,93.8,0.3,52,7.3,3.2,16.3,9.8,34.8,5.2
EVANGELICAL LUTHERAN GOOD SAMARITAN SOCIETY,214,63,9,0,2,2,3.2,4.8,95.2,0,3,2.8,3.4,3.2,3.6,3.1,0.9,48.9,38.1,0.4,61,1,1069783.28,16980.69,7,0.1,19,12,2.3,1.8,79.4,67.7,83.2,1.33,1.63,15.3,3.9,5.7,4.2,2.2,18.9,16.7,95.2,96.3,0.1,48.2,5.5,3.5,14.9,9.8,34.8,6.7
EVERYAGE SENIOR LIVING,675,3,2,0,0,0,0,0,100,0,5,4.3,4.7,4,4.7,4.4,0.8,40.8,23.2,0,3,1,2925,975,0,0,18.3,11,1.3,1.9,85.7,87.7,89.7,1.07,0.91,18.2,3.6,11.1,3.7,1,18.9,14.5,90.5,94.3,0,44.6,5.1,1.4,24.2,9.6,48.4,12.6
EXCELCARE,216,5,1,0,0,0,0,100,0,0,3.2,2.6,2,4.8,3.2,2.8,0.7,55,49.6,1,4,0.8,131380,26276,0,0,22.9,8.1,0.8,2.3,87.2,91.4,80.6,1.66,1.12,8.8,2.7,10.3,1,0.6,8,7.5,99.4,93.9,0,29.7,5.4,9.1,17.2,10.9,24.7,1.2
EXCELSIOR CARE GROUP,217,21,3,0,0,0,0,100,0,0,3,2.9,2.1,4,3.2,2.9,0.5,39.9,51.6,0.8,88,4.2,586216.13,27915.05,0,0,20.8,8.7,1.6,1.6,79.1,72.7,70,1.6,0.96,11,2.5,10.2,0.8,0.6,13.6,13.3,93.7,86.8,0,42.6,7.5,19.6,15,10.5,21.1,19.8
EXTENDED CARE ASSOCIATES,218,5,2,0,0,0,0,100,0,0,2.4,2.6,2.4,1.6,3.5,2.8,0.3,47.7,33.7,0.3,4,0.8,189703.15,37940.63,0,0,23.2,10.8,2.2,2.1,68.2,78.8,81.7,2.58,2.36,21.7,4.4,12.4,5.5,1,16.2,21.1,98.9,96.2,0,36.3,2.2,2,30.2,11.1,25.3,0.2
EXTENDED CARE CLINICAL,219,8,1,0,0,3,37.5,100,0,0,1.3,2,1.1,2.1,3.2,2.8,0.6,63,52.9,2,22,2.8,1250325.27,156290.66,7,0.9,24,12.2,2.5,3,68.5,42.8,37.4,1.95,1.58,16.9,2.5,12.3,1.3,0.7,25.7,18.6,82.2,73.7,0,60,8.2,51.8,9.9,10.9,37.7,11.2
FAMILY OF CARING HEALTHCARE,220,8,1,0,0,0,0,100,0,0,4,3.5,2.8,4.5,4,3.5,0.8,41.1,37,0.6,15,1.9,68319.88,8539.99,1,0.1,21.6,8.8,1.1,1.6,82.7,81.9,87.8,1.37,1.12,12.4,3.1,8.4,0.8,0.6,11.5,10.8,94.8,97.3,0,39.7,5.1,9.7,15.2,10.1,38.8,28.6
FELICIAN SERVICES,684,6,4,0,0,0,0,0,66.7,33.3,3.8,3.2,4.3,3.8,4.7,4.1,0.8,48.2,33.7,0.4,8,1.3,244179.75,40696.62,1,0.2,20.3,7,0.9,1,76.6,78,78.6,1.75,0.91,15.5,3.5,7.7,3.5,1.2,16,15.1,96.9,94.2,0,58.6,4.4,0.9,20.7,9.9,17.4,2.5
FIRST ATLANTIC HEALTHCARE,221,10,1,0,0,2,20,100,0,0,2.2,2.2,3.7,2.3,4.1,3.6,0.9,66.8,51,0.6,6,0.6,137967.75,13796.78,0,0,22.5,15.7,2.1,4.1,55.3,73.2,74,1.23,2.3,17.9,2.3,8,3.1,1.7,22.1,16.3,95.2,94.6,0,70.3,5.9,5,19.8,9.9,28.4,12.5
FLORIDA INSTITUTE FOR LONG-TERM CARE,223,17,1,1,0,2,11.8,29.4,70.6,0,2.5,2.1,2.6,3.9,3.2,3,0.6,34.8,45.5,0.5,16,0.9,1203783.65,70810.8,2,0.1,25,9.1,1.9,2,84.2,98.7,98.6,1.96,1.1,6.7,2.4,9.8,0.4,0.1,7.5,6,100,99.8,0,40.8,6,0.5,25,11,10.4,8.1
FOCUSED POST ACUTE CARE PARTNERS,224,27,1,0,3,6,22.2,96.3,0,3.7,1.8,2,1.3,3.1,2.9,2.5,0.3,54.5,58.4,0.5,58,2.1,2074856.56,76846.54,7,0.3,23.8,10.8,1.9,3.9,54.8,84.6,89.8,1.74,1.84,9.2,3.7,8.3,0.5,1.2,13.3,14.3,99.1,99,0,52.7,4.5,1.4,23.3,10.3,20.1,10.2
FOUNDATIONS HEALTH SOLUTIONS,225,57,1,0,0,0,0,100,0,0,3.9,3.7,1.9,4.3,3.4,3,0.6,40.3,32.7,0.4,43,0.8,307233.18,5390.06,2,0,23.3,12.1,1.1,2.6,80.6,73.6,74.8,1.33,1.45,13.6,3,6.9,0.2,0.3,6.1,12.3,95.7,90.6,0,42.1,5.9,44.7,28.2,11,27.4,2.7
FOURSQUARE HEALTHCARE,226,10,1,0,0,0,0,70,0,30,2.3,3,1,3.4,3.1,2.6,0.3,50,31.1,0.3,20,2,201210.35,20121.04,0,0,22.8,12.4,1.1,2.4,72.4,91.5,96.2,1.92,1.71,7.1,3.8,8.2,1.7,0.9,7.3,17.7,99.8,100,0,57.7,2.7,59.1,28.7,11.3,52.1,16
FRANCISCAN COMMUNITIES,227,6,3,0,0,1,16.7,0,100,0,3.7,3.2,3.8,3.8,4.2,3.8,1.2,47.6,39.7,0.4,9,1.5,129786.97,21631.16,0,0,22.3,8.6,1.1,2.6,70.3,90.5,89.8,1.59,1,16.1,2.7,9.1,0.8,1.2,14,8.3,97.9,95,0,74.3,5.2,3.9,16.8,10.5,23.4,3.1
FREEDOM MANAGEMENT COMPANY,228,3,2,0,0,0,0,100,0,0,4.3,3.7,4.3,4.3,5.3,4.7,0.7,41.2,42.8,0.7,1,0.3,9769.5,3256.5,0,0,21.9,16.1,0.4,3.8,76.5,96.6,98.7,1.78,1.2,7,0,6.5,5.1,5.5,14.8,4.8,95.7,100,0,56.8,9,5.3,12.7,10.8,24.2,13.5
FRONT PORCH,229,9,1,0,0,0,0,0,100,0,4.3,3.7,4.3,4.8,5.1,4.5,0.9,30.6,21.7,0.3,9,1,51291.81,5699.09,1,0.1,21.7,11,0.7,1.3,86.3,95,97.6,1.76,0.68,11,4,7.1,2.1,0.7,16.2,8.1,97.3,99.5,0,53.6,7.7,1.7,7.3,10,48.5,28.2
FRONTLINE MANAGEMENT,230,9,4,0,0,1,11.1,100,0,0,2.7,2.6,2.7,3.6,3.4,3,0.7,54,52.8,0.3,24,2.7,195927.53,21769.73,1,0.1,22.4,10.8,1,2.8,77.8,58.8,54.6,1.45,1.71,12.7,4.1,6.4,1.5,0.8,18.2,16.2,93.2,76.7,0,57.1,7.6,1.5,12.2,10.7,42,6.4
FUNDAMENTAL HEALTHCARE,231,74,7,2,3,11,14.9,91.9,1.4,6.8,2.2,2.2,1.9,3,3.3,2.9,0.5,51.8,52.2,0.6,167,2.3,4154720.78,56144.88,9,0.1,21.5,11.8,1.9,2.6,67,69.3,67.2,1.84,1.68,13.4,2.6,9,1.2,0.8,19.2,17.6,93.4,84.8,0,53.3,5.6,7.3,21,11.1,28.1,10.3
FUTURE CARE/LIFEBRIDGE HEALTH,232,17,1,0,0,1,5.9,94.1,5.9,0,2.8,2.6,3.4,3.6,3.9,3.4,1,45.7,38.2,0.1,10,0.6,78039.35,4590.55,1,0.1,21.5,9,1.2,4.2,71.1,77.9,77.3,1.34,0.89,11.6,2.2,12.2,2.5,0.9,26.4,18.2,94.8,91.4,0,62.7,6.6,12.5,11.4,11.9,23,10.2
GARDEN HEALTHCARE,233,6,1,0,0,0,0,100,0,0,2,2,1.7,4.2,3.3,3,0.4,46.8,45.8,0.8,19,3.2,430760.22,71793.37,4,0.7,22.6,15.5,2,5.3,95.1,55,73.1,1.4,1.53,11.5,4,6.7,0.2,0.1,4.3,12.6,80.1,88.3,0,37.2,5.8,24.5,28.3,10.6,42.8,15.8
GENERATIONS HEALTHCARE,236,33,4,0,0,1,3,100,0,0,3.7,3.4,3.3,4.2,4.2,3.7,0.6,43.4,47,0.2,56,1.7,836611.83,25351.87,10,0.3,22.1,12.1,1.2,1.3,84,90.7,91.1,1.83,1.6,13.1,2.5,7.5,1.6,1.1,10.3,7.3,97.6,95.4,0,43.9,5,11.7,15.3,10.4,38.6,10.3
GENESIS HEALTHCARE,237,231,20,4,15,18,7.8,99.1,0.9,0,2.3,2.2,2.4,3.3,3.3,2.9,0.7,47.9,46.2,1,267,1.2,10161305.98,43988.34,61,0.3,19.8,11.4,1.6,3.1,73.9,74.3,76.3,1.46,1.49,14.4,3.1,8.9,1.8,0.8,20.8,16.4,95,92,0.1,43.9,6.8,6.5,17.2,10.5,23.4,10.7
GLOBAL HEALTHCARE REIT,238,9,2,1,1,2,22.2,100,0,0,1.5,1.8,2.3,1.5,3.8,3.5,0.4,65.1,66.3,1.4,39,4.3,369475.02,41052.78,5,0.6,23.8,15.8,4.6,1.7,80.7,56.4,71.8,1.97,2.41,24.2,4.3,16.5,4.4,2.3,22.8,22.1,91,89.9,0.1,30.8,4.6,3.7,22.6,11.3,21.5,14.5
GOLD FL TRUST II,594,46,1,0,2,3,6.5,100,0,0,3.1,2.7,2.7,4.2,3.7,3.3,0.6,48.6,53.4,0.7,102,2.2,1762736.02,38320.35,3,0.1,24,9,1.4,1.6,84.4,91.7,92.2,2.04,1.01,7.9,2.1,7.5,0.5,0.4,11.9,6.7,99.1,98,0,46.3,5.6,6.4,18,10.9,24.9,12.3
GOLDEN SNF OPERATIONS,692,5,1,0,0,1,20,100,0,0,2,1.8,2,2.8,4.1,3.7,0.4,69.2,61.1,1.4,59,11.8,739766.6,147953.32,2,0.4,23.7,15.8,1.3,1.9,71.6,79.2,78.1,2,2.31,8,3.5,7.5,2,1.9,22.7,13.2,95.4,95,0,38.4,6.9,4.2,14.3,11.5,34,8.1
GRACE HEALTHCARE,239,2,2,0,0,1,50,100,0,0,1,1,2.5,1.5,4.6,4.2,0.9,16.7,33.3,0,5,2.5,233597.71,116798.86,1,0.5,26,17.4,2.4,1.1,72.9,91.8,93,2.24,2.61,17,3.5,8.2,4.1,4.9,26.2,18.6,96.9,97.2,0,31.3,2.4,1.8,30,10,11.5,0
GREEN TREE HEALTHCARE MANAGEMENT,241,4,2,0,0,0,0,100,0,0,2.5,2.5,2.3,3.5,3.6,2.9,0.5,49.8,49.8,0.8,35,8.8,557886.14,139471.54,2,0.5,18.8,13.2,2,2.3,83.8,61.5,63.2,0.98,1.79,25.5,2.1,5.6,1.2,1,21.3,21.7,95.8,81.6,0,56.5,5.5,5.7,13.1,10.3,33.2,11.4
GUARDIAN ELDER CARE,242,22,2,0,0,5,22.7,100,0,0,2.7,2.6,3.4,3.6,3.3,3,0.7,45.6,42.2,0.7,19,0.9,384772.05,17489.64,1,0,21.4,10.7,1.4,2.4,74.7,74.9,81.6,1.46,1.21,15.1,3.7,8.7,2.8,1,19.1,12.2,94.2,90.6,0,52.5,6.2,1.7,22.1,10.3,30.1,11.6
GULF COAST LTC PARTNERS,243,15,1,0,1,4,26.7,60,0,40,1.7,2.7,1.5,1.7,3.2,2.9,0.2,55.8,41.4,0.6,22,1.5,683571.59,45571.44,3,0.2,28.5,15.5,3.1,3.2,64.4,88.1,88.8,2.3,2.12,19.6,4.3,7.1,3.2,2,19.8,22.8,96.8,95.4,0,49.1,6.4,2.6,26.7,10.8,34.2,4.2
